STORE_ID,LATITUDE,LONGITUDE,DAYS_OPEN,ITEM_AVAILABILITY,ZONE,BOOKMARKS
6824,33.7693247,-118.3669221,7.0,44.0,LOS ANGELES,
2728,25.9545108,-81.7259218,7.0,25.0,FT. MYERS-NAPLES,
10731,34.01971431,-117.593843,7.0,5049.0,LOS ANGELES,
5601,42.3454207,-71.0957779,7.0,124.0,BOSTON (MANCHESTER),
6777,34.2592565,-119.2094861,7.0,1789.0,LOS ANGELES,
2010,32.8338216,-80.0443672,7.0,130.0,"CHARLESTON, SC",
6729,33.8946747,-118.2217077,7.0,128.0,LOS ANGELES,
1694,42.0625547,-71.2486744,7.0,35.0,BOSTON (MANCHESTER),
6980,34.2853843,-118.7084145,7.0,138.0,LOS ANGELES,
6990,36.8078547,-119.7084868,7.0,69.0,FRESNO-VISALIA,
12766,33.800874,-116.519728,7.0,29.0,LOS ANGELES,
999,33.6582424,-118.0022677,7.0,215.0,LOS ANGELES,
7439,31.7758527,-106.5025725,7.0,34.0,EL PASO (LAS CRUCES),
13398,29.70202723,-82.38845768,7.0,62.0,GAINESVILLE,
14443,38.85155734,-121.2880117,7.0,96.0,SACRAMNTO-STKTON-MODESTO,
9483,34.17210609,-118.3352334,7.0,102.0,LOS ANGELES,
13481,36.3777798,-82.40683777,7.0,67.0,"TRI-CITIES, TN-VA",
13136,34.24507127,-116.8829452,7.0,13.0,LOS ANGELES,
4328,36.4842688,-82.5034882,7.0,18.0,"TRI-CITIES, TN-VA",
1764,42.2411556,-70.8908213,7.0,43.0,BOSTON (MANCHESTER),
8133,33.555699,-117.176738,7.0,197.0,LOS ANGELES,
616,42.1395978,-71.1460345,7.0,55.0,BOSTON (MANCHESTER),
3996,38.6174953,-121.4008819,7.0,73.0,SACRAMNTO-STKTON-MODESTO,
199,34.6939585,-118.170688,7.0,180.0,LOS ANGELES,
6613,38.3437641,-120.770284,7.0,43.0,SACRAMNTO-STKTON-MODESTO,
13274,38.66210145,-120.9702471,7.0,50.0,SACRAMNTO-STKTON-MODESTO,
11848,33.81747056,-118.0450056,7.0,127.0,LOS ANGELES,
6406,33.8880957,-118.0993989,7.0,224.0,LOS ANGELES,
11941,33.27718177,-111.7196513,7.0,73.0,PHOENIX (PRESCOTT),
879,42.4806653,-71.1509323,7.0,132.0,BOSTON (MANCHESTER),
2492,38.2544692,-121.2966993,7.0,52.0,SACRAMNTO-STKTON-MODESTO,
9669,27.37476309,-80.32540192,7.0,54.0,WEST PALM BEACH-FT. PIERCE,
10712,31.99443174,-102.0999288,7.0,88.0,ODESSA-MIDLAND,
9909,41.600899,-93.793399,7.0,273.0,DES MOINES-AMES,
6719,33.5951819,-117.6569603,7.0,95.0,LOS ANGELES,
7771,31.8399666,-106.578176,7.0,21.0,EL PASO (LAS CRUCES),
9085,42.97997142,-71.47718738,7.0,79.0,BOSTON (MANCHESTER),
4501,33.2930708,-111.7220139,7.0,,PHOENIX (PRESCOTT),
4197,42.649711,-71.3044032,7.0,49.0,BOSTON (MANCHESTER),
7066,33.8928482,-117.7738166,7.0,99.0,LOS ANGELES,
6137,42.3011894,-71.2930369,7.0,17.0,BOSTON (MANCHESTER),
6871,34.6904668,-118.1121764,7.0,156.0,LOS ANGELES,
14071,42.275997,-71.02731013,7.0,56.0,BOSTON (MANCHESTER),
319,33.5817632,-117.7252875,7.0,617.0,LOS ANGELES,
9517,26.06293128,-81.69993311,7.0,45.0,FT. MYERS-NAPLES,
6904,33.9419865,-118.0284435,7.0,119.0,LOS ANGELES,
8918,33.3927916,-111.8066091,7.0,9625.0,PHOENIX (PRESCOTT),
3675,33.4367854,-111.7010068,7.0,57.0,PHOENIX (PRESCOTT),
6865,34.4718919,-117.3659067,7.0,130.0,LOS ANGELES,
5758,33.5982441,-117.1769317,7.0,184.0,LOS ANGELES,
9639,42.98173494,-71.44761019,7.0,93.0,BOSTON (MANCHESTER),
14696,32.00152906,-102.1357766,7.0,57.0,ODESSA-MIDLAND,
12760,40.989312,-75.216795,7.0,91.0,WILKES BARRE-SCRANTON,
1712,42.2195926,-71.1876929,7.0,174.0,BOSTON (MANCHESTER),
11905,32.9524958,-80.16197862,7.0,130.0,"CHARLESTON, SC",
908,42.3203617,-71.6430002,7.0,47.0,BOSTON (MANCHESTER),
1680,42.1946114,-70.7249316,7.0,42.0,BOSTON (MANCHESTER),
1520,40.8113431,-76.8569162,7.0,24.0,WILKES BARRE-SCRANTON,
11184,31.72945202,-106.3483766,7.0,58.0,EL PASO (LAS CRUCES),
6833,34.0393942,-118.144863,7.0,1091.0,LOS ANGELES,
10031,33.58138324,-112.2542888,7.0,120.0,PHOENIX (PRESCOTT),
7937,33.748434,-116.906003,7.0,80.0,LOS ANGELES,
3999,26.7099479,-80.2055074,7.0,275.0,WEST PALM BEACH-FT. PIERCE,
1541,40.951887,-76.4605139,7.0,3.0,WILKES BARRE-SCRANTON,
11714,41.73902638,-93.59942928,7.0,73.0,DES MOINES-AMES,
4814,38.4016031,-82.5776654,7.0,15.0,CHARLESTON-HUNTINGTON,
1693,41.9233316,-70.5694873,7.0,139.0,BOSTON (MANCHESTER),
7668,31.7839561,-106.4259563,7.0,17.0,EL PASO (LAS CRUCES),
14206,34.09040846,-118.3380866,7.0,140.0,LOS ANGELES,
5810,26.5157757,-81.8980509,7.0,94.0,FT. MYERS-NAPLES,
950,43.149177,-77.5541501,7.0,26.0,"ROCHESTER, NY",
8864,33.61147921,-112.11189,7.0,72.0,PHOENIX (PRESCOTT),
12816,32.42556421,-111.0778189,7.0,,PHOENIX (PRESCOTT),
12736,36.06630047,-119.0264702,7.0,97.0,FRESNO-VISALIA,
3156,33.3047029,-111.9448434,7.0,86.0,PHOENIX (PRESCOTT),
545,42.3519698,-71.5344676,7.0,96.0,BOSTON (MANCHESTER),
5531,33.0187765,-80.0877835,7.0,131.0,"CHARLESTON, SC",
6625,37.6686249,-120.9916037,7.0,106.0,SACRAMNTO-STKTON-MODESTO,
12980,42.67788935,-71.13343972,7.0,64.0,BOSTON (MANCHESTER),
10468,34.10591542,-117.8283486,7.0,87.0,LOS ANGELES,
7004,33.9830779,-117.7332139,7.0,171.0,LOS ANGELES,
11794,33.36411589,-111.6351605,7.0,79.0,PHOENIX (PRESCOTT),
7109,38.7608623,-121.3112667,7.0,133.0,SACRAMNTO-STKTON-MODESTO,
9996,26.58461094,-80.05157892,7.0,106.0,WEST PALM BEACH-FT. PIERCE,
6676,38.5750918,-121.4158851,7.0,84.0,SACRAMNTO-STKTON-MODESTO,
